"Table 205.50. Private elementary and secondary enrollment, number of schools, and average tuition, by school level, orientation, and tuition: Selected school years, 1999-2000 through 2020-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School orientation and tuition,Kindergarten through 12th-grade enrollment,,,,,,,,,,,,Total schools  ,,,Average tuition charged\1\ (in current dollars),,,,,,,,,,,,"Average tuition charged\1\ (in constant 2022-23 dollars\2\), total",,
,Total,,,Elementary/middle  ,,,Secondary/high,,,Combined/other ,,,,,,Total,,,"Elementary/
middle  ",,,Secondary/high,,,Combined/other ,,,,,
2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total ,4417240,,267437,1898180,,79214,1069270,,242324,1449780,,88450,24090,,159,12790,,791,9210,,295,15420,,4322,15550,,887,14570,,900.912550241116
"  Less than $3,500 ",564300,!,244986,187860,,24276,‡,,(†),100930,,15206,4890,,315,980,,275,1490,,186,640,,100,980,,173,1120,,313.714281724181
"  $3,500 to $5,999 ",863500,,83686,561780,,38150,‡,,(†),294210,,72676,5920,,341,4850,,52,4940,,56,‡,,(†),4680,,78,5520,,59.4560708927574
"  $6,000 to $9,999 ",1151250,,52373,633370,,39883,158060,,16943,359820,,33054,6200,,256,7730,,66,7550,,92,8420,,137,7740,,112,8800,,75.0831350878393
"  $10,000 to $14,999 ",678520,,71046,251180,,63886,239110,,23539,188230,,26880,2500,,187,11960,,132,11620,,188,12140,,165,12190,,246,13620,,150.878837882053
"  $15,000 or more ",1159670,,59836,263990,,27179,389080,,23667,506600,,49610,4580,,182,29960,,679,25480,,1073,30940,,1096,31550,,1156,34120,,772.786453617885
Catholic ,1645050,,47485,999730,,35474,524400,,25815,120930,,24430,6370,,108,9720,,417,6760,,314,13960,,491,15850,,3597,11070,,475.361239617178
"  Less than $3,500 ",107760,,18937,‡,,(†),‡,,(†),‡,,(†),830,,122,1770,,264,‡,,(†),‡,,(†),‡,,(†),2010,,300.160121059772
"  $3,500 to $5,999 ",422780,,34566,396860,,32113,‡,,(†),‡,,(†),2190,,157,4950,,74,4960,,73,‡,,(†),‡,,(†),5640,,83.8168441180159
"  $6,000 to $9,999 ",554610,,40034,413230,,33270,111870,,14627,‡,,(†),2140,,142,7770,,109,7500,,118,8640,,143,‡,,(†),8840,,123.589100482233
"  $10,000 to $14,999 ",315160,,31366,‡,,(†),218470,,22786,‡,,(†),690,,80,11980,,149,‡,,(†),12210,,173,‡,,(†),13650,,169.201974936443
"  $15,000 or more ",244730,,28636,‡,,(†),174810,,18524,‡,,(†),520,,62,22990,,1463,‡,,(†),20770,,1115,‡,,(†),26190,,1666.66420565569
Other religious ,1589900,,81405,624360,,68625,150080,,15295,815460,,42818,11760,,142,10910,,403,8810,,514,21930,,1515,10500,,595,12430,,459.357791169329
"  Less than $3,500 ",148010,,21278,86650,,16576,‡,,(†),59350,,11464,3130,,273,1390,,186,1310,,247,‡,,(†),1560,,258,1590,,211.838737536623
"  $3,500 to $5,999 ",330240,,34135,147550,,21223,‡,,(†),180980,,25758,3330,,279,4790,,65,4830,,102,‡,,(†),4740,,84,5450,,73.9784672355416
"  $6,000 to $9,999 ",514280,,40432,179380,,26708,‡,,(†),294830,,30693,3110,,212,7640,,90,7460,,174,‡,,(†),7690,,115,8700,,102.110827051769
"  $10,000 to $14,999 ",283110,,64091,‡,,(†),‡,,(†),135470,,24769,990,,123,11690,,219,‡,,(†),‡,,(†),11970,,303,13310,,249.965949867186
"  $15,000 or more ",314250,,31507,81500,,18809,87930,,13033,144820,,23263,1190,,111,26510,,1186,22810,,1769,31280,,2043,25690,,1880,30190,,1350.15636698132
Nonsectarian ,1182290,,254716,274090,,18751,‡,,(†),513400,,74208,5950,,146,19590,,4965,19030,,1084,‡,,(†),23490,,2535,22310,,5654.62448040289
"  Less than $3,500 ",‡,,(†),‡,,(†),‡,,(†),33000,,8682,930,,122,‡,,(†),‡,,(†),‡,,(†),#,,(†),‡,,(†)
"  $3,500 to $5,999 ",‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†)
"  $6,000 to $9,999 ",82360,,13020,‡,,(†),‡,,(†),‡,,(†),950,,134,8040,,185,‡,,(†),‡,,(†),‡,,(†),9150,,210.359052030963
"  $10,000 to $14,999 ",80240,,16163,43560,,8043,‡,,(†),‡,,(†),810,,116,12850,,271,12400,,316,‡,,(†),‡,,(†),14640,,308.999627660545
"  $15,000 or more ",600680,,35980,156930,,16594,126340,,12597,317420,,32138,2870,,133,34610,,924,27010,,1193,44770,,1936,34320,,1462,39410,,1052.29794096925
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1\Each school reports the highest annual tuition charged for a full-time student; this amount does not take into account discounts that individual students may receive. This amount is weighted by the number of students enrolled in each school and averaged.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Constant dollars based on the Consumer Price Index (CPI), prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to a school-year basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: School levels are assigned based on the current Common Core of Data (CCD) school level definitions. For more information about the CCD school levels, see https://nces.ed.gov/ccd/doc/11_Changes_SCH_LEA_Level_Assignments_7.31.2023.docx. Excludes schools not offering first or higher grade. Excludes prekindergarten students. Includes a small percentage of schools (about 7 percent in 2020-21) reporting tuition of 0; these private schools are often under contract to public school districts to provide special education services. Detail may not sum to totals because of rounding and cell suppression. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Schools and Staffing Survey (SASS), ""Private School Data File,"" 1999-2000, 2003-04, 2007-08, and 2011-12; and National Teacher and Principal Survey (NTPS), ""Private School Data File,""  2020-21. (This table was prepared October 2023.)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
